Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA & IBRD total,IBT,3707.50905,4311.53819,4528.972274,4736.528497,4851.424618,4537.976928,4503.145178,4885.474243
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA blend,IDB,1536.688862,1730.326711,1859.438279,1977.510202,2105.041778,1957.863442,1771.739128,1714.469866
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA only,IDX,836.6672824,911.416819,933.7731072,1019.86625,1066.54824,1066.156944,1057.255824,1110.355797
GDP per capita (current US$),NY.GDP.PCAP.CD,IDA total,IDA,1074.340129,1190.507013,1250.498231,1347.43393,1422.525515,1370.73525,1299.267674,1312.725888
GDP per capita (current US$),NY.GDP.PCAP.CD,Late-demographic dividend,LTE,6192.389209,7502.030598,7978.585356,8548.159629,8818.869796,8218.384972,8187.21316,9031.340769
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean,LCN,9065.807546,10193.85724,10186.95946,10326.13436,10417.35374,8870.63068,8577.358726,9432.971185
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & Caribbean (excluding high income),LAC,8767.05888,9870.706096,9825.143454,9936.316767,10062.26923,8461.077391,8142.770024,8990.524504
GDP per capita (current US$),NY.GDP.PCAP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,8980.719155,10128.63224,10111.75807,10247.21402,10334.43067,8728.07016,8417.027467,9288.199577
GDP per capita (current US$),NY.GDP.PCAP.CD,Least developed countries: UN classification,LDC,813.2670308,903.509772,935.4819809,997.2093156,1053.028615,1014.380373,978.7413075,1041.228276
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,3576.05292,4167.710896,4393.63289,4593.900589,4709.48357,4415.522911,4380.328093,4749.356416
GDP per capita (current US$),NY.GDP.PCAP.CD,Low income,LIC,734.2035212,773.2421812,790.4963907,845.7405124,883.9699919,860.5686206,774.5072735,779.6083179
