Series_Name,Series_Code,Country_Name,Country_Code,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Luxembourg,LUX,12.95878369,12.68599568,11.77557609,11.6053841,10.85761339,11.00665465,10.31198129,10.3646374
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Macao SAR China,MAC,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Madagascar,MDG,22.66201053,23.36285963,22.71642527,23.90916176,23.51776666,22.95040117,22.89570824,22.54228288
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Malawi,MWI,25.6961984,25.16500891,25.73840151,24.68347878,25.19822884,24.53742932,23.09261542,23.56592147
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Malaysia,MYS,18.59375306,19.20260869,19.1822225,17.55444704,16.92315529,17.44091023,15.75128619,16.03580871
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Maldives,MDV,11.30982939,11.78963462,11.1574823,10.56967928,9.921230863,9.37394394,7.972428925,7.795820799
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Mali,MLI,36.39765973,35.14164437,34.7002263,32.30682338,33.91611574,41.92692766,38.48039528,38.52660616
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Malta,MLT,16.4493999,16.64430398,15.39716095,15.28194422,14.43540357,14.72246254,13.81139444,13.90954337
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Marshall Islands,MHL,12.94670836,12.93217057,12.12353358,11.87438859,11.07022018,10.83766846,10.15200199,10.24133222
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Mauritania,MRT,39.63741338,40.04314497,42.34351169,40.21579155,43.11078408,49.49825592,46.66758772,47.42299178
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Mauritius,MUS,15.1947729,15.20170165,15.24585596,15.55617651,15.29264823,14.44195579,14.34637947,14.45782732
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Mexico,MEX,26.365439,27.74129679,25.98165883,25.44908967,23.09968975,22.13299585,20.70682854,20.92111579
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Micronesia Fed. Sts.,FSM,13.7492452,13.7316521,12.97443872,12.74251533,11.86686885,11.72598465,11.13451107,11.28339944
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Moldova,MDA,19.11610415,19.92486817,18.40928474,17.43239973,16.72646105,17.07913959,16.36379754,16.25103271
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Monaco,MCO,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Mongolia,MNG,43.30465329,45.36017005,42.6543748,42.32131127,39.29514006,42.51464988,38.22281711,40.11284905
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Montenegro,MNE,25.0554063,26.62922388,24.68030289,23.27422599,21.94705168,22.55969129,20.92405137,20.78181355
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Morocco,MAR,29.6489603,29.26656426,27.79028358,29.25951913,29.94944999,31.44008691,32.93537423,32.59354146
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Mozambique,MOZ,23.56146872,22.6090715,22.86760109,22.63615999,22.61416414,21.90588194,21.47182554,21.29869546
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Myanmar,MMR,44.05611525,43.61990347,42.5228124,42.88286944,40.28896854,38.51378205,36.033701,35.55745292
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Namibia,NAM,27.65989633,27.01015451,26.79870806,27.09281609,26.01812153,26.91001673,25.55214196,25.3587654
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Nauru,NRU,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Nepal,NPL,100.7844279,100.7660607,96.96329149,95.31398561,98.11601657,96.25276818,98.05471403,99.73437372
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Netherlands,NLD,15.23243025,14.98813864,13.81241373,13.04314511,12.82879707,12.93210515,12.02524278,12.03440807
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,New Caledonia,NCL,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,New Zealand,NZL,7.152865691,7.420696435,6.83583564,6.781885551,6.357903512,6.33043381,5.987363154,5.956001129
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Nicaragua,NIC,22.4922691,22.47952015,22.35271161,21.92907575,19.38772134,18.56913277,17.7277291,17.61418045
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Niger,NER,69.15017669,72.98276678,72.54464459,63.03171725,60.54135722,87.28128201,87.70847201,94.05381768
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Nigeria,NGA,52.60906391,50.97308923,56.1296377,49.74068894,48.63337361,75.39899187,71.369601,71.79817438
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,North Macedonia,MKD,34.45696977,38.0831195,34.65781455,32.01504863,31.79054123,31.97598914,29.59326907,29.72694451
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Northern Mariana Islands,MNP,11.926381,12.19962657,11.43999611,10.96502021,10.3134722,10.39771204,9.91775575,9.892981129
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Norway,NOR,8.341507223,8.853510781,7.925281241,7.633674824,7.670895927,7.242775336,6.95945733,6.956519803
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Oman,OMN,37.51533394,39.10379482,40.73328348,41.0527687,37.71088051,42.62758972,41.78219181,41.11523827
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Pakistan,PAK,68.00519044,68.54493561,62.37664629,61.02216287,59.51836271,60.08589291,58.63276393,58.28241877
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Palau,PLW,,,,,,,,
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Panama,PAN,14.13891846,14.29603899,13.97236651,13.3978705,12.92161513,12.49074394,11.46554742,11.40005433
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Papua New Guinea,PNG,14.94135871,15.51903383,14.60653316,13.95262793,13.24529823,13.2617261,12.61505599,12.29441826
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Paraguay,PRY,15.10292317,14.59811855,13.94830615,12.92656928,12.6410755,13.03807402,11.64932248,11.90908085
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Peru,PER,31.50257401,31.57116569,30.49445583,29.74308641,27.5826726,26.03726793,25.54274604,24.78672805
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Philippines,PHL,23.59231552,22.75483447,22.54958361,21.21628777,20.25958716,19.58154202,18.22692834,18.06979891
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Poland,POL,27.17650018,26.37250707,24.26397739,22.9287237,22.21089179,22.69131805,20.9757679,20.87782222
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Portugal,PRT,10.07688693,10.35501263,9.484802799,9.432044129,8.78479289,8.823283435,8.052763686,8.160752248
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Puerto Rico,PRI,10.37254851,10.57940611,9.96624445,9.703754136,9.089227717,8.920910287,8.342871258,8.349033339
PM2.5 air pollution mean annual exposure (micrograms per cubic meter),EN.ATM.PM25.MC.M3,Qatar,QAT,84.12290235,81.2730055,89.24697128,88.89051503,78.83284035,94.40389119,88.22244652,91.18732793
