aircraft,airline,speed,speed_category
Airplane,"UNITED AIRLINES",5000,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",400,"HIGH SPEED"
Airplane,BUSINESS,1000,"HIGH SPEED"
Airplane,"HORIZON AIR",3000,"HIGH SPEED"
Airplane,BUSINESS,500,"HIGH SPEED"
Airplane,MILITARY,7000,"HIGH SPEED"
Airplane,BUSINESS,500,"HIGH SPEED"
Airplane,"UNITED AIRLINES",250,"HIGH SPEED"
Airplane,"DELTA AIR LINES",700,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",1500,"HIGH SPEED"
Airplane,"ABX AIR",2100,"HIGH SPEED"
Helicopter,BUSINESS,800,"HIGH SPEED"
Airplane,MILITARY,800,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",1500,"HIGH SPEED"
Airplane,"GREAT LAKES AIRLINES",450,"HIGH SPEED"
Airplane,"EXPRESSJET (CONTINENTAL EXPRS)",1500,"HIGH SPEED"
Airplane,"CONTINENTAL AIRLINES",2500,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",8000,"HIGH SPEED"
Airplane,"MESA AIRLINES",150,"HIGH SPEED"
Airplane,"ABX AIR",900,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",1000,"HIGH SPEED"
Airplane,MILITARY,1000,"HIGH SPEED"
Airplane,BUSINESS,3000,"HIGH SPEED"
Airplane,BUSINESS,2000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",9000,"HIGH SPEED"
Airplane,"MESABA AIRLINES",500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",2000,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",1000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",400,"HIGH SPEED"
Airplane,"DELTA AIR LINES",300,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",3000,"HIGH SPEED"
Airplane,"HORIZON AIR",100,"HIGH SPEED"
Airplane,MILITARY,2000,"HIGH SPEED"
Airplane,BUSINESS,300,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",200,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",300,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",800,"HIGH SPEED"
Airplane,"US AIRWAYS*",500,"HIGH SPEED"
Airplane,"DELTA AIR LINES",7000,"HIGH SPEED"
Airplane,BUSINESS,100,"HIGH SPEED"
Airplane,"GREAT LAKES AIRLINES",6000,"HIGH SPEED"
Airplane,"UPS AIRLINES",8500,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",1500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",7000,"HIGH SPEED"
Airplane,"MESABA AIRLINES",2000,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",600,"HIGH SPEED"
Airplane,"UNITED AIRLINES",3000,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",1700,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",1000,"HIGH SPEED"
Airplane,"HORIZON AIR",300,"HIGH SPEED"
Airplane,MILITARY,100,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",100,"HIGH SPEED"
Airplane,BUSINESS,150,"HIGH SPEED"
Airplane,"EMPIRE AIRLINES",400,"HIGH SPEED"
Airplane,"AMERICA WEST AIRLINES",300,"HIGH SPEED"
Airplane,"UNITED AIRLINES",200,"HIGH SPEED"
Airplane,COMMUTAIR,100,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",5000,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",11000,"HIGH SPEED"
Airplane,"DELTA AIR LINES",100,"HIGH SPEED"
Airplane,"AIR CANADA",200,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",200,"HIGH SPEED"
,"TRANS STATES AIRLINES",500,"HIGH SPEED"
Airplane,"US AIRWAYS*",300,"HIGH SPEED"
Airplane,"DELTA AIR LINES",500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",500,"HIGH SPEED"
Airplane,"UNITED AIRLINES",200,"HIGH SPEED"
Airplane,"AMERICA WEST AIRLINES",1000,"HIGH SPEED"
Airplane,MILITARY,400,"HIGH SPEED"
Airplane,"DELTA AIR LINES",350,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1300,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",2500,"HIGH SPEED"
Airplane,"DELTA AIR LINES",100,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",5000,"HIGH SPEED"
Airplane,BUSINESS,300,"HIGH SPEED"
Airplane,"COMAIR AIRLINES",200,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",300,"HIGH SPEED"
Airplane,"ALASKA AIRLINES",100,"HIGH SPEED"
Airplane,"US AIRWAYS*",200,"HIGH SPEED"
Airplane,"HAWAIIAN AIR",100,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",200,"HIGH SPEED"
Airplane,"CANADIAN REGIONAL AIRLINES",2000,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",5000,"HIGH SPEED"
Airplane,"AIRTRAN AIRWAYS",1000,"HIGH SPEED"
Airplane,BUSINESS,550,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",800,"HIGH SPEED"
,BUSINESS,700,"HIGH SPEED"
Airplane,"US AIRWAYS*",400,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",200,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",3000,"HIGH SPEED"
Airplane,"US AIRWAYS*",4000,"HIGH SPEED"
Airplane,"ABX AIR",5000,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",200,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",600,"HIGH SPEED"
Airplane,"DELTA AIR LINES",100,"HIGH SPEED"
Airplane,"UNITED AIRLINES",5000,"HIGH SPEED"
Airplane,"MESABA AIRLINES",500,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",300,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",500,"HIGH SPEED"
Airplane,BUSINESS,150,"HIGH SPEED"
Airplane,"UNITED AIRLINES",200,"HIGH SPEED"
Airplane,"UNITED AIRLINES",250,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",1800,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",600,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",1000,"HIGH SPEED"
Airplane,"DELTA AIR LINES",1300,"HIGH SPEED"
Airplane,"AMERICA WEST AIRLINES",200,"HIGH SPEED"
Airplane,"DELTA AIR LINES",400,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",300,"HIGH SPEED"
Airplane,BUSINESS,400,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",200,"HIGH SPEED"
Airplane,MILITARY,1500,"HIGH SPEED"
Airplane,"HORIZON AIR",1500,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",500,"HIGH SPEED"
Airplane,"UNITED AIRLINES",500,"HIGH SPEED"
Airplane,BUSINESS,2000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",1000,"HIGH SPEED"
Airplane,BUSINESS,1000,"HIGH SPEED"
Airplane,"US AIRWAYS*",100,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",3000,"HIGH SPEED"
Airplane,BUSINESS,1500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",300,"HIGH SPEED"
Airplane,"UNITED AIRLINES",1700,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",5000,"HIGH SPEED"
Airplane,"UNITED AIRLINES",3000,"HIGH SPEED"
Airplane,"PRIVATELY OWNED",400,"HIGH SPEED"
Airplane,"FEDEX EXPRESS",700,"HIGH SPEED"
Airplane,BUSINESS,200,"HIGH SPEED"
Airplane,BUSINESS,800,"HIGH SPEED"
Airplane,"ATLANTIC COAST AIRLINES",2000,"HIGH SPEED"
Airplane,BUSINESS,800,"HIGH SPEED"
Airplane,"EXPRESSJET (CONTINENTAL EXPRS)",700,"HIGH SPEED"
Airplane,COMMUTAIR,2000,"HIGH SPEED"
Airplane,"AMERICAN EAGLE AIRLINES",500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",200,"HIGH SPEED"
Airplane,"SOUTHWEST AIRLINES",100,"HIGH SPEED"
Airplane,"AMERICA WEST AIRLINES",300,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",500,"HIGH SPEED"
Airplane,"TRANS WORLD AIRLINES",1500,"HIGH SPEED"
Airplane,"EXECUTIVE JET AVIATION",100,"HIGH SPEED"
Airplane,"NORTHWEST AIRLINES",500,"HIGH SPEED"
Airplane,BUSINESS,2500,"HIGH SPEED"
Airplane,"AMERICAN AIRLINES",100,"HIGH SPEED"
